Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,log_LoanAmount,total_income,log_total_income
LP002949,Female,No,3+,Graduate,unknown,416,41667.0,350.0,180.0,unknown,Urban,N,5.857933154483459,42083.0,10.647399137646048
LP002547,Male,Yes,1,Graduate,No,18333,0.0,500.0,360.0,1.0,Urban,N,6.214608098422191,18333.0,9.816457993563025
LP001894,Male,Yes,0,Graduate,No,2620,2223.0,150.0,360.0,1.0,Semiurban,Y,5.0106352940962555,4843.0,8.48528964240323
LP001761,Male,No,0,Graduate,Yes,6400,0.0,200.0,360.0,1.0,Rural,Y,5.298317366548036,6400.0,8.764053269347762
LP002874,Male,No,0,Graduate,No,3229,2739.0,110.0,360.0,1.0,Urban,Y,4.700480365792417,5968.0,8.694167141883597
LP002606,Female,No,0,Graduate,No,3159,0.0,100.0,360.0,1.0,Semiurban,Y,4.605170185988092,3159.0,8.058010800802085
LP001194,Male,Yes,2,Graduate,No,2708,1167.0,97.0,360.0,1.0,Semiurban,Y,4.574710978503383,3875.0,8.262300941787448
LP002448,Male,Yes,0,Graduate,No,3948,1733.0,149.0,360.0,0.0,Rural,N,5.003946305945459,5681.0,8.644882552557126
LP002917,Female,No,0,Not Graduate,No,2165,0.0,70.0,360.0,1.0,Semiurban,Y,4.248495242049359,2165.0,7.68017564043659
LP002716,Male,No,0,Not Graduate,No,6783,0.0,130.0,360.0,1.0,Semiurban,Y,4.867534450455582,6783.0,8.82217476094608
LP001116,Male,No,0,Not Graduate,No,3748,1668.0,110.0,360.0,1.0,Semiurban,Y,4.700480365792417,5416.0,8.59711281459211
LP001356,Male,Yes,0,Graduate,No,4652,3583.0,125.0,360.0,1.0,Semiurban,Y,4.8283137373023015,8235.0,9.016148642611741
LP001041,Male,Yes,0,Graduate,unknown,2600,3500.0,115.0,360.0,1.0,Urban,Y,4.74493212836325,6100.0,8.716044050161402
LP002345,Male,Yes,0,Graduate,No,1025,2773.0,112.0,360.0,1.0,Rural,Y,4.718498871295094,3798.0,8.242229891372231
LP001106,Male,Yes,0,Graduate,No,2275,2067.0,125.0,360.0,1.0,Urban,Y,4.8283137373023015,4342.0,8.376090350438238
LP002784,Male,Yes,1,Not Graduate,No,2492,2375.0,125.0,360.0,1.0,Rural,Y,4.8283137373023015,4867.0,8.490233009833455
LP002772,Male,No,0,Graduate,No,2526,1783.0,145.0,360.0,1.0,Rural,Y,4.976733742420574,4309.0,8.368461137615839
LP002342,Male,Yes,2,Graduate,Yes,1600,20000.0,239.0,360.0,1.0,Urban,N,5.476463551931511,21600.0,9.980448593672257
LP002301,Female,No,0,Graduate,Yes,7441,0.0,194.0,360.0,1.0,Rural,N,5.267858159063328,7441.0,8.914760527397261
LP002191,Male,Yes,0,Graduate,No,19730,5266.0,570.0,360.0,1.0,Rural,N,6.345636360828596,24996.0,10.126471091048971
LP002100,Male,No,unknown,Graduate,No,2833,0.0,71.0,360.0,1.0,Urban,Y,4.2626798770413155,2833.0,7.949091499830517
LP002219,Male,Yes,3+,Graduate,No,8750,4996.0,130.0,360.0,1.0,Rural,Y,4.867534450455582,13746.0,9.52850315168155
LP001531,Male,No,0,Graduate,No,9166,0.0,244.0,360.0,1.0,Urban,N,5.497168225293202,9166.0,9.123256265069069
LP001836,Female,No,2,Graduate,No,3427,0.0,138.0,360.0,1.0,Urban,N,4.927253685157205,3427.0,8.139440521874608
LP002778,Male,Yes,2,Graduate,Yes,6633,0.0,128.0,360.0,0.0,Rural,N,4.852030263919617,6633.0,8.799812469525556
LP002234,Male,No,0,Graduate,Yes,7167,0.0,128.0,360.0,1.0,Urban,Y,4.852030263919617,7167.0,8.877242435993919
LP002223,Male,Yes,0,Graduate,No,4310,0.0,130.0,360.0,unknown,Semiurban,Y,4.867534450455582,4310.0,8.368693183097793
LP001073,Male,Yes,2,Not Graduate,No,4226,1040.0,110.0,360.0,1.0,Urban,Y,4.700480365792417,5266.0,8.569026340056254
LP002138,Male,Yes,0,Graduate,No,2625,6250.0,187.0,360.0,1.0,Rural,Y,5.231108616854587,8875.0,9.090993614343617
LP001634,Male,No,0,Graduate,No,1916,5063.0,67.0,360.0,unknown,Rural,N,4.204692619390966,6979.0,8.850660919017152
LP001594,Male,Yes,0,Graduate,No,5708,5625.0,187.0,360.0,1.0,Semiurban,Y,5.231108616854587,11333.0,9.335474102732949
LP002868,Male,Yes,2,Graduate,No,3159,461.0,108.0,84.0,1.0,Urban,Y,4.68213122712422,3620.0,8.194229304819817
LP001955,Female,No,0,Graduate,No,5000,2541.0,151.0,480.0,1.0,Rural,N,5.017279836814924,7541.0,8.928110078202646
LP001487,Male,No,0,Graduate,No,4895,0.0,102.0,360.0,1.0,Semiurban,Y,4.624972813284271,4895.0,8.49596955496461
LP002585,Male,Yes,0,Graduate,No,3597,2157.0,119.0,360.0,0.0,Rural,N,4.77912349311153,5754.0,8.657650544111494
LP002877,Male,Yes,1,Graduate,No,1782,2232.0,107.0,360.0,1.0,Rural,Y,4.672828834461906,4014.0,8.297543529356284
LP002928,Male,Yes,0,Graduate,No,3000,3416.0,56.0,180.0,1.0,Semiurban,Y,4.02535169073515,6416.0,8.766550149546351
LP002086,Female,Yes,0,Graduate,No,4333,2451.0,110.0,360.0,1.0,Urban,N,4.700480365792417,6784.0,8.822322177471738
LP002194,Female,No,0,Graduate,Yes,15759,0.0,55.0,360.0,1.0,Semiurban,Y,4.007333185232471,15759.0,9.665166909622071
LP001036,Female,No,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,N,4.330733340286331,3510.0,8.163371316459912
LP002821,Male,No,0,Not Graduate,Yes,5800,0.0,132.0,360.0,1.0,Semiurban,Y,4.882801922586371,5800.0,8.66561319653451
LP001907,Male,Yes,0,Graduate,No,14583,0.0,436.0,360.0,1.0,Semiurban,Y,6.077642243349034,14583.0,9.587611745713565
LP002361,Male,Yes,0,Graduate,No,1820,1719.0,100.0,360.0,1.0,Urban,Y,4.605170185988092,3539.0,8.171599480345463
LP002308,Male,Yes,0,Not Graduate,No,2167,2400.0,115.0,360.0,1.0,Urban,Y,4.74493212836325,4567.0,8.426611813185
LP001872,Male,No,0,Graduate,Yes,5166,0.0,128.0,360.0,1.0,Semiurban,Y,4.852030263919617,5166.0,8.549853973655786
LP001688,Male,Yes,1,Not Graduate,No,3500,1083.0,135.0,360.0,1.0,Urban,Y,4.90527477843843,4583.0,8.430109084509125
LP001008,Male,No,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,Y,4.948759890378168,6000.0,8.699514748210191
LP001792,Male,Yes,1,Graduate,No,3315,0.0,96.0,360.0,1.0,Semiurban,Y,4.564348191467836,3315.0,8.106212902619962
LP002689,Male,Yes,2,Not Graduate,No,2192,1742.0,45.0,360.0,1.0,Semiurban,Y,3.8066624897703196,3934.0,8.277411998949004
LP002008,Male,Yes,2,Graduate,Yes,5746,0.0,144.0,84.0,unknown,Rural,Y,4.969813299576001,5746.0,8.656259239539235
LP002287,Female,No,0,Graduate,No,1500,1800.0,103.0,360.0,0.0,Semiurban,N,4.634728988229636,3300.0,8.101677747454572
LP002670,Female,Yes,2,Graduate,No,2031,1632.0,113.0,480.0,1.0,Semiurban,Y,4.727387818712341,3663.0,8.206037762778815
LP001404,Female,Yes,0,Graduate,No,3167,2283.0,154.0,360.0,1.0,Semiurban,Y,5.0369526024136295,5450.0,8.60337088765729
LP002266,Male,Yes,2,Graduate,No,3100,1400.0,113.0,360.0,1.0,Urban,Y,4.727387818712341,4500.0,8.411832675758411
LP001241,Female,No,0,Graduate,No,4300,0.0,136.0,360.0,0.0,Semiurban,N,4.912654885736052,4300.0,8.366370301681654
LP002588,Male,Yes,0,Graduate,No,4625,2857.0,111.0,12.0,unknown,Urban,Y,4.709530201312334,7482.0,8.920255414908091
LP001743,Male,Yes,2,Graduate,No,4009,1717.0,116.0,360.0,1.0,Semiurban,Y,4.7535901911063645,5726.0,8.65277248565806
LP001653,Male,No,0,Not Graduate,No,4885,0.0,48.0,360.0,1.0,Rural,Y,3.871201010907891,4885.0,8.493924564476883
LP002602,Male,No,0,Graduate,No,6283,4416.0,209.0,360.0,0.0,Rural,N,5.342334251964811,10699.0,9.277905558138606
LP002348,Male,Yes,0,Graduate,No,5829,0.0,138.0,360.0,1.0,Rural,Y,4.927253685157205,5829.0,8.67060073804555
LP001664,Male,No,0,Graduate,No,4191,0.0,120.0,360.0,1.0,Rural,Y,4.787491742782046,4191.0,8.340694647925071
LP001864,Male,Yes,3+,Not Graduate,No,4931,0.0,128.0,360.0,unknown,Semiurban,N,4.852030263919617,4931.0,8.503297086224126
LP002158,Male,Yes,0,Not Graduate,No,3000,1666.0,100.0,480.0,0.0,Urban,N,4.605170185988092,4666.0,8.448057452581375
LP002582,Female,No,0,Not Graduate,Yes,17263,0.0,225.0,360.0,1.0,Semiurban,Y,5.41610040220442,17263.0,9.756320761816548
LP002114,Female,No,0,Graduate,No,4160,0.0,71.0,360.0,1.0,Semiurban,Y,4.2626798770413155,4160.0,8.333270353255308
LP001006,Male,Yes,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,Y,4.787491742782046,4941.0,8.50532301884575
LP002863,Male,Yes,3+,Graduate,No,6406,0.0,150.0,360.0,1.0,Semiurban,N,5.0106352940962555,6406.0,8.764990330169104
LP001914,Male,Yes,0,Graduate,No,3927,800.0,112.0,360.0,1.0,Semiurban,Y,4.718498871295094,4727.0,8.461046030793236
LP001164,Female,No,0,Graduate,No,4230,0.0,112.0,360.0,1.0,Semiurban,N,4.718498871295094,4230.0,8.349957272040324
LP002717,Male,Yes,0,Graduate,No,1025,5500.0,216.0,360.0,unknown,Rural,Y,5.375278407684165,6525.0,8.783396232190894
LP001744,Male,No,0,Graduate,No,2971,2791.0,144.0,360.0,1.0,Semiurban,Y,4.969813299576001,5762.0,8.659039915644474
LP001574,Male,Yes,0,Graduate,No,3707,3166.0,182.0,360.0,1.0,Rural,Y,5.204006687076795,6873.0,8.835355971121606
LP001711,Male,Yes,3+,Graduate,No,3430,1250.0,128.0,360.0,0.0,Semiurban,N,4.852030263919617,4680.0,8.451053388911692
LP002990,Female,No,0,Graduate,Yes,4583,0.0,133.0,360.0,0.0,Semiurban,N,4.890349128221754,4583.0,8.430109084509125
LP002131,Male,Yes,2,Not Graduate,No,3083,2168.0,126.0,360.0,1.0,Urban,Y,4.836281906951478,5251.0,8.566173813637858
LP002820,Male,Yes,0,Graduate,No,5923,2054.0,211.0,360.0,1.0,Rural,Y,5.351858133476067,7977.0,8.984317679911129
LP002804,Female,Yes,0,Graduate,No,4180,2306.0,182.0,360.0,1.0,Semiurban,Y,5.204006687076795,6486.0,8.777401286867264
LP001908,Female,Yes,0,Not Graduate,No,4100,0.0,124.0,360.0,unknown,Rural,Y,4.820281565605037,4100.0,8.318742252692399
LP002424,Male,Yes,0,Graduate,No,7333,8333.0,175.0,300.0,unknown,Rural,Y,5.1647859739235145,15666.0,9.659248037927183
LP002201,Male,Yes,2,Graduate,Yes,9323,7873.0,380.0,300.0,1.0,Rural,Y,5.940171252720432,17196.0,9.752432077616172
LP001870,Female,No,1,Graduate,No,3481,0.0,155.0,36.0,1.0,Semiurban,N,5.043425116919247,3481.0,8.15507488781144
LP001938,Male,Yes,2,Graduate,No,4400,0.0,127.0,360.0,0.0,Semiurban,N,4.844187086458591,4400.0,8.389359819906353
LP001940,Male,Yes,2,Graduate,No,3153,1560.0,134.0,360.0,1.0,Urban,Y,4.897839799950911,4713.0,8.45807992692373
LP001935,Male,No,0,Graduate,No,9508,0.0,187.0,360.0,1.0,Rural,Y,5.231108616854587,9508.0,9.159888828480085
LP001790,Female,No,1,Graduate,No,3812,0.0,112.0,360.0,1.0,Rural,Y,4.718498871295094,3812.0,8.245909264774093
LP001325,Male,No,0,Not Graduate,No,3620,0.0,25.0,120.0,1.0,Semiurban,Y,3.2188758248682006,3620.0,8.194229304819817
LP002357,Female,No,0,Not Graduate,No,2720,0.0,80.0,360.0,0.0,Urban,N,4.382026634673881,2720.0,7.908387159290043
LP001289,Male,No,0,Graduate,No,8566,0.0,210.0,360.0,1.0,Urban,Y,5.3471075307174685,8566.0,9.055556158175316
LP001639,Female,Yes,0,Graduate,No,3625,0.0,108.0,360.0,1.0,Semiurban,Y,4.68213122712422,3625.0,8.195609567288775
LP002098,Male,No,0,Graduate,No,2935,0.0,98.0,360.0,1.0,Semiurban,Y,4.584967478670572,2935.0,7.984462732262196
LP001844,Male,No,0,Graduate,Yes,16250,0.0,192.0,360.0,0.0,Urban,N,5.2574953720277815,16250.0,9.695848187757884
LP002314,Female,No,0,Not Graduate,No,2213,0.0,66.0,360.0,1.0,Rural,Y,4.189654742026425,2213.0,7.70210434005105
LP002978,Female,No,0,Graduate,No,2900,0.0,71.0,360.0,1.0,Rural,Y,4.2626798770413155,2900.0,7.9724660159745655
LP001692,Female,No,0,Not Graduate,No,4408,0.0,120.0,360.0,1.0,Semiurban,Y,4.787491742782046,4408.0,8.391176350832751
LP002515,Male,Yes,1,Graduate,Yes,3450,2079.0,162.0,360.0,1.0,Semiurban,Y,5.087596335232384,5529.0,8.617762246337932
LP002035,Male,Yes,2,Graduate,No,3717,0.0,120.0,360.0,1.0,Semiurban,Y,4.787491742782046,3717.0,8.220672170297252
LP002720,Male,Yes,3+,Graduate,No,4281,0.0,100.0,360.0,1.0,Urban,Y,4.605170185988092,4281.0,8.361941906144946
LP002315,Male,Yes,1,Graduate,No,8300,0.0,152.0,300.0,0.0,Semiurban,N,5.0238805208462765,8300.0,9.02401079378469
LP002643,Male,Yes,2,Graduate,No,3283,2035.0,148.0,360.0,1.0,Urban,Y,4.997212273764115,5318.0,8.578852571802965
LP001904,Male,Yes,0,Graduate,No,3103,1300.0,80.0,360.0,1.0,Urban,Y,4.382026634673881,4403.0,8.390041405755754
LP001131,Male,Yes,0,Graduate,No,3941,2336.0,134.0,360.0,1.0,Semiurban,Y,4.897839799950911,6277.0,8.744647438317532
LP001250,Male,Yes,3+,Not Graduate,No,4755,0.0,95.0,360.0,0.0,Semiurban,N,4.553876891600541,4755.0,8.46695197497949
LP001391,Male,Yes,0,Not Graduate,No,3572,4114.0,152.0,360.0,0.0,Rural,N,5.0238805208462765,7686.0,8.94715577112479
LP002317,Male,Yes,3+,Graduate,No,81000,0.0,360.0,360.0,0.0,Rural,N,5.886104031450156,81000.0,11.302204433654575
LP001720,Male,Yes,3+,Not Graduate,No,3850,983.0,100.0,360.0,1.0,Semiurban,Y,4.605170185988092,4833.0,8.483222671845084
LP002187,Male,No,0,Graduate,No,2500,0.0,96.0,480.0,1.0,Semiurban,N,4.564348191467836,2500.0,7.824046010856292
LP001698,Male,No,0,Not Graduate,No,3975,2531.0,55.0,360.0,1.0,Rural,Y,4.007333185232471,6506.0,8.780480107033297
LP002170,Male,Yes,2,Graduate,No,5000,3667.0,236.0,360.0,1.0,Semiurban,Y,5.4638318050256105,8667.0,9.067277989134345
LP001754,Male,Yes,unknown,Not Graduate,Yes,4735,0.0,138.0,360.0,1.0,Urban,N,4.927253685157205,4735.0,8.462737005620179
LP002501,unknown,Yes,0,Graduate,No,16692,0.0,110.0,360.0,1.0,Semiurban,Y,4.700480365792417,16692.0,9.722684841711443
LP002409,Male,Yes,0,Graduate,No,7901,1833.0,180.0,360.0,1.0,Rural,Y,5.19295685089021,9734.0,9.1833801903934
LP002097,Male,No,1,Graduate,No,4384,1793.0,117.0,360.0,1.0,Urban,Y,4.762173934797756,6177.0,8.728587995695898
LP002180,Male,No,0,Graduate,Yes,6822,0.0,141.0,360.0,1.0,Rural,Y,4.948759890378168,6822.0,8.82790796297859
LP001882,Male,Yes,3+,Graduate,No,4333,1811.0,160.0,360.0,0.0,Urban,Y,5.075173815233827,6144.0,8.723231274827508
LP002888,Male,No,0,Graduate,unknown,3182,2917.0,161.0,360.0,1.0,Urban,Y,5.081404364984463,6099.0,8.715880102296456
LP001581,Male,Yes,0,Not Graduate,unknown,1820,1769.0,95.0,360.0,1.0,Rural,Y,4.553876891600541,3589.0,8.185628891147607
LP001708,Female,No,0,Graduate,No,10000,0.0,214.0,360.0,1.0,Semiurban,N,5.365976015021851,10000.0,9.210340371976184
LP002103,unknown,Yes,1,Graduate,Yes,9833,1833.0,182.0,180.0,1.0,Urban,Y,5.204006687076795,11666.0,9.364433907313582
LP001824,Male,Yes,1,Graduate,No,2882,1843.0,123.0,480.0,1.0,Semiurban,Y,4.812184355372417,4725.0,8.460622839927844
LP002640,Male,Yes,1,Graduate,No,6065,2004.0,250.0,360.0,1.0,Semiurban,Y,5.521460917862246,8069.0,8.995784837848506
LP002531,Male,Yes,1,Graduate,Yes,16667,2250.0,86.0,360.0,1.0,Semiurban,Y,4.454347296253507,18917.0,9.847816267665664
LP002211,Male,Yes,0,Graduate,No,4817,923.0,120.0,180.0,1.0,Urban,Y,4.787491742782046,5740.0,8.655214489313613
LP002265,Male,Yes,2,Not Graduate,No,1993,1625.0,113.0,180.0,1.0,Semiurban,Y,4.727387818712341,3618.0,8.193676665955241
LP001903,Male,Yes,0,Graduate,No,3993,3274.0,207.0,360.0,1.0,Semiurban,Y,5.332718793265369,7267.0,8.891098830616636
LP001514,Female,Yes,0,Graduate,No,2330,4486.0,100.0,360.0,1.0,Semiurban,Y,4.605170185988092,6816.0,8.827028068509152
LP001179,Male,Yes,2,Graduate,No,4616,0.0,134.0,360.0,1.0,Urban,N,4.897839799950911,4616.0,8.437283808187935
LP001119,Male,No,0,Graduate,No,3600,0.0,80.0,360.0,1.0,Urban,N,4.382026634673881,3600.0,8.1886891244442
LP001947,Male,Yes,0,Graduate,No,2383,3334.0,172.0,360.0,1.0,Semiurban,Y,5.147494476813453,5717.0,8.651199471263972
LP001225,Male,Yes,0,Graduate,No,5726,4595.0,258.0,360.0,1.0,Semiurban,N,5.552959584921617,10321.0,9.241935933565934
LP002130,Male,Yes,unknown,Not Graduate,No,3523,3230.0,152.0,360.0,0.0,Rural,N,5.0238805208462765,6753.0,8.817742129574842
LP001751,Male,Yes,0,Graduate,No,3250,0.0,170.0,360.0,1.0,Rural,N,5.135798437050262,3250.0,8.086410275323782
LP002958,Male,No,0,Graduate,No,3676,4301.0,172.0,360.0,1.0,Rural,Y,5.147494476813453,7977.0,8.984317679911129
LP001603,Male,Yes,0,Not Graduate,Yes,4344,736.0,87.0,360.0,1.0,Semiurban,N,4.465908118654584,5080.0,8.533066540572527
LP001953,Male,Yes,1,Graduate,No,6875,0.0,200.0,360.0,1.0,Semiurban,Y,5.298317366548036,6875.0,8.835646922534773
LP001945,Female,No,unknown,Graduate,No,5417,0.0,143.0,480.0,0.0,Urban,N,4.962844630259907,5417.0,8.597297435657898
LP002684,Female,No,0,Not Graduate,No,3400,0.0,95.0,360.0,1.0,Rural,N,4.553876891600541,3400.0,8.131530710604252
LP002332,Male,Yes,0,Not Graduate,No,2253,2033.0,110.0,360.0,1.0,Rural,Y,4.700480365792417,4286.0,8.363109176033522
LP001253,Male,Yes,3+,Graduate,Yes,5266,1774.0,187.0,360.0,1.0,Semiurban,Y,5.231108616854587,7040.0,8.859363449152088
LP002892,Male,Yes,2,Graduate,No,6540,0.0,205.0,360.0,1.0,Semiurban,Y,5.3230099791384085,6540.0,8.785692444451245
LP001032,Male,No,0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,Y,4.8283137373023015,4950.0,8.507142855562735
LP001608,Male,Yes,2,Graduate,No,2045,1619.0,101.0,360.0,1.0,Rural,Y,4.61512051684126,3664.0,8.20631072579402
LP001098,Male,Yes,0,Graduate,No,3500,1667.0,114.0,360.0,1.0,Semiurban,Y,4.736198448394496,5167.0,8.550047528287184
LP002983,Male,Yes,1,Graduate,No,8072,240.0,253.0,360.0,1.0,Urban,Y,5.53338948872752,8312.0,9.025455532779063
LP002615,Male,Yes,2,Graduate,No,4865,5624.0,208.0,360.0,1.0,Semiurban,Y,5.337538079701318,10489.0,9.258082367961604
LP002024,unknown,Yes,0,Graduate,No,2473,1843.0,159.0,360.0,1.0,Rural,N,5.0689042022202315,4316.0,8.370084326378025
LP001977,Male,Yes,1,Graduate,No,1625,1803.0,96.0,360.0,1.0,Urban,Y,4.564348191467836,3428.0,8.13973227971767
LP001691,Male,Yes,2,Not Graduate,No,3917,0.0,124.0,360.0,1.0,Semiurban,Y,4.820281565605037,3917.0,8.27308133366583
LP002151,Male,Yes,1,Graduate,No,3875,0.0,67.0,360.0,1.0,Urban,N,4.204692619390966,3875.0,8.262300941787448
LP001473,Male,No,0,Graduate,No,2014,1929.0,74.0,360.0,1.0,Urban,Y,4.30406509320417,3943.0,8.279697133877628
LP001043,Male,Yes,0,Not Graduate,No,7660,0.0,104.0,360.0,0.0,Urban,N,4.6443908991413725,7660.0,8.943767262734637
LP001990,Male,No,0,Not Graduate,No,2000,0.0,128.0,360.0,1.0,Urban,N,4.852030263919617,2000.0,7.600902459542082
LP002964,Male,Yes,2,Not Graduate,No,3987,1411.0,157.0,360.0,1.0,Rural,Y,5.056245805348308,5398.0,8.59378379357795
LP001813,Male,No,0,Graduate,Yes,6050,4333.0,120.0,180.0,1.0,Urban,N,4.787491742782046,10383.0,9.247925132303454
LP001205,Male,Yes,0,Graduate,No,2500,3796.0,120.0,360.0,1.0,Urban,Y,4.787491742782046,6296.0,8.74766979009724
LP002036,Male,Yes,0,Graduate,No,2058,2134.0,88.0,360.0,unknown,Urban,Y,4.477336814478207,4192.0,8.340933226000878
LP002959,Female,Yes,1,Graduate,No,12000,0.0,496.0,360.0,1.0,Semiurban,Y,6.206575926724928,12000.0,9.392661928770137
LP002112,Male,Yes,2,Graduate,Yes,2500,4600.0,176.0,360.0,1.0,Rural,Y,5.170483995038151,7100.0,8.867850063029406
LP001993,Female,No,0,Graduate,No,3762,1666.0,135.0,360.0,1.0,Rural,Y,4.90527477843843,5428.0,8.59932602095476
LP001606,Male,Yes,0,Graduate,No,3497,1964.0,116.0,360.0,1.0,Rural,Y,4.7535901911063645,5461.0,8.605387202152153
LP001318,Male,Yes,2,Graduate,No,6250,5654.0,188.0,180.0,1.0,Semiurban,Y,5.236441962829949,11904.0,9.384629757072872
LP001421,Male,Yes,0,Graduate,No,5568,2142.0,175.0,360.0,1.0,Rural,N,5.1647859739235145,7710.0,8.950273466557375
LP001715,Male,Yes,3+,Not Graduate,Yes,5703,0.0,130.0,360.0,1.0,Rural,Y,4.867534450455582,5703.0,8.648747631156539
LP002893,Male,No,0,Graduate,No,1836,33837.0,90.0,360.0,1.0,Urban,N,4.499809670330265,35673.0,10.482149379105689
